"tipo_objeto","objeto","tabela","classificacao","destino_ou_acao","justificativa"
"policy","fornecedores.fornecedores_insert_tenant","fornecedores","SUBSTITUIR","policy RLS reconstruída","Toda policy existente será retirada; o baseline aplicará tenant, papel e operação a partir de public.usuarios"
"policy","fornecedores.fornecedores_select_tenant","fornecedores","SUBSTITUIR","policy RLS reconstruída","Toda policy existente será retirada; o baseline aplicará tenant, papel e operação a partir de public.usuarios"
"policy","fornecedores.fornecedores_update_tenant","fornecedores","SUBSTITUIR","policy RLS reconstruída","Toda policy existente será retirada; o baseline aplicará tenant, papel e operação a partir de public.usuarios"
"policy","funcionarios.nexotfe funcionarios delete admin mesma empresa","funcionarios","SUBSTITUIR","policy RLS reconstruída","Toda policy existente será retirada; o baseline aplicará tenant, papel e operação a partir de public.usuarios"
"policy","funcionarios.nexotfe funcionarios insert mesma empresa","funcionarios","SUBSTITUIR","policy RLS reconstruída","Toda policy existente será retirada; o baseline aplicará tenant, papel e operação a partir de public.usuarios"
"policy","funcionarios.nexotfe funcionarios select mesma empresa","funcionarios","SUBSTITUIR","policy RLS reconstruída","Toda policy existente será retirada; o baseline aplicará tenant, papel e operação a partir de public.usuarios"
"policy","funcionarios.nexotfe funcionarios update mesma empresa","funcionarios","SUBSTITUIR","policy RLS reconstruída","Toda policy existente será retirada; o baseline aplicará tenant, papel e operação a partir de public.usuarios"
"policy","grupos_recursos.Authenticated users can view grupos","grupos_recursos","SUBSTITUIR","policy RLS reconstruída","Toda policy existente será retirada; o baseline aplicará tenant, papel e operação a partir de public.usuarios"
"policy","grupos_recursos.admins excluem grupos recursos","grupos_recursos","SUBSTITUIR","policy RLS reconstruída","Toda policy existente será retirada; o baseline aplicará tenant, papel e operação a partir de public.usuarios"
"policy","grupos_recursos.nexotfe grupos recursos select autenticado","grupos_recursos","SUBSTITUIR","policy RLS reconstruída","Toda policy existente será retirada; o baseline aplicará tenant, papel e operação a partir de public.usuarios"
"policy","grupos_recursos.nexotfe grupos recursos update criador ou admin","grupos_recursos","SUBSTITUIR","policy RLS reconstruída","Toda policy existente será retirada; o baseline aplicará tenant, papel e operação a partir de public.usuarios"
"policy","grupos_recursos.usuarios autenticados criam grupos recursos","grupos_recursos","SUBSTITUIR","policy RLS reconstruída","Toda policy existente será retirada; o baseline aplicará tenant, papel e operação a partir de public.usuarios"
"policy","grupos_recursos.usuarios autenticados visualizam grupos recursos","grupos_recursos","SUBSTITUIR","policy RLS reconstruída","Toda policy existente será retirada; o baseline aplicará tenant, papel e operação a partir de public.usuarios"
"policy","itens_industriais.nexotfe itens delete admin mesma empresa","itens_industriais","SUBSTITUIR","policy RLS reconstruída","Toda policy existente será retirada; o baseline aplicará tenant, papel e operação a partir de public.usuarios"
"policy","itens_industriais.nexotfe itens insert mesma empresa","itens_industriais","SUBSTITUIR","policy RLS reconstruída","Toda policy existente será retirada; o baseline aplicará tenant, papel e operação a partir de public.usuarios"
"policy","itens_industriais.nexotfe itens select mesma empresa","itens_industriais","SUBSTITUIR","policy RLS reconstruída","Toda policy existente será retirada; o baseline aplicará tenant, papel e operação a partir de public.usuarios"
"policy","itens_industriais.nexotfe itens update mesma empresa","itens_industriais","SUBSTITUIR","policy RLS reconstruída","Toda policy existente será retirada; o baseline aplicará tenant, papel e operação a partir de public.usuarios"
"policy","materias_primas.materias_primas_delete_blocked","materias_primas","SUBSTITUIR","policy RLS reconstruída","Toda policy existente será retirada; o baseline aplicará tenant, papel e operação a partir de public.usuarios"
"policy","materias_primas.materias_primas_insert_tenant","materias_primas","SUBSTITUIR","policy RLS reconstruída","Toda policy existente será retirada; o baseline aplicará tenant, papel e operação a partir de public.usuarios"
"policy","materias_primas.materias_primas_select_tenant","materias_primas","SUBSTITUIR","policy RLS reconstruída","Toda policy existente será retirada; o baseline aplicará tenant, papel e operação a partir de public.usuarios"
"policy","materias_primas.materias_primas_update_tenant","materias_primas","SUBSTITUIR","policy RLS reconstruída","Toda policy existente será retirada; o baseline aplicará tenant, papel e operação a partir de public.usuarios"
"policy","movimentacoes_estoque.nexotfe estoque delete admin mesma empresa","movimentacoes_estoque","SUBSTITUIR","policy RLS reconstruída","Toda policy existente será retirada; o baseline aplicará tenant, papel e operação a partir de public.usuarios"
"policy","movimentacoes_estoque.nexotfe estoque insert mesma empresa","movimentacoes_estoque","SUBSTITUIR","policy RLS reconstruída","Toda policy existente será retirada; o baseline aplicará tenant, papel e operação a partir de public.usuarios"
"policy","movimentacoes_estoque.nexotfe estoque select mesma empresa","movimentacoes_estoque","SUBSTITUIR","policy RLS reconstruída","Toda policy existente será retirada; o baseline aplicará tenant, papel e operação a partir de public.usuarios"
"policy","movimentacoes_estoque.nexotfe estoque update mesma empresa","movimentacoes_estoque","SUBSTITUIR","policy RLS reconstruída","Toda policy existente será retirada; o baseline aplicará tenant, papel e operação a partir de public.usuarios"
"policy","numeracao_configuracoes.numeracao_configuracoes_delete_blocked","numeracao_configuracoes","SUBSTITUIR","policy RLS reconstruída","Toda policy existente será retirada; o baseline aplicará tenant, papel e operação a partir de public.usuarios"
"policy","numeracao_configuracoes.numeracao_configuracoes_insert_tenant","numeracao_configuracoes","SUBSTITUIR","policy RLS reconstruída","Toda policy existente será retirada; o baseline aplicará tenant, papel e operação a partir de public.usuarios"
"policy","numeracao_configuracoes.numeracao_configuracoes_select_tenant","numeracao_configuracoes","SUBSTITUIR","policy RLS reconstruída","Toda policy existente será retirada; o baseline aplicará tenant, papel e operação a partir de public.usuarios"
"policy","numeracao_configuracoes.numeracao_configuracoes_update_tenant","numeracao_configuracoes","SUBSTITUIR","policy RLS reconstruída","Toda policy existente será retirada; o baseline aplicará tenant, papel e operação a partir de public.usuarios"
"policy","ordens_fabricacao.ordens_fabricacao_delete_blocked","ordens_fabricacao","SUBSTITUIR","policy RLS reconstruída","Toda policy existente será retirada; o baseline aplicará tenant, papel e operação a partir de public.usuarios"
"policy","ordens_fabricacao.ordens_fabricacao_insert_tenant","ordens_fabricacao","SUBSTITUIR","policy RLS reconstruída","Toda policy existente será retirada; o baseline aplicará tenant, papel e operação a partir de public.usuarios"
"policy","ordens_fabricacao.ordens_fabricacao_select_tenant","ordens_fabricacao","SUBSTITUIR","policy RLS reconstruída","Toda policy existente será retirada; o baseline aplicará tenant, papel e operação a partir de public.usuarios"
"policy","ordens_fabricacao.ordens_fabricacao_update_tenant","ordens_fabricacao","SUBSTITUIR","policy RLS reconstruída","Toda policy existente será retirada; o baseline aplicará tenant, papel e operação a partir de public.usuarios"
"policy","pedido_compra_itens.pedido_compra_itens_delete_blocked","pedido_compra_itens","SUBSTITUIR","policy RLS reconstruída","Toda policy existente será retirada; o baseline aplicará tenant, papel e operação a partir de public.usuarios"
"policy","pedido_compra_itens.pedido_compra_itens_insert_tenant","pedido_compra_itens","SUBSTITUIR","policy RLS reconstruída","Toda policy existente será retirada; o baseline aplicará tenant, papel e operação a partir de public.usuarios"
"policy","pedido_compra_itens.pedido_compra_itens_select_tenant","pedido_compra_itens","SUBSTITUIR","policy RLS reconstruída","Toda policy existente será retirada; o baseline aplicará tenant, papel e operação a partir de public.usuarios"
"policy","pedido_compra_itens.pedido_compra_itens_update_blocked","pedido_compra_itens","SUBSTITUIR","policy RLS reconstruída","Toda policy existente será retirada; o baseline aplicará tenant, papel e operação a partir de public.usuarios"
"policy","pedidos_compra.pedidos_compra_delete_blocked","pedidos_compra","SUBSTITUIR","policy RLS reconstruída","Toda policy existente será retirada; o baseline aplicará tenant, papel e operação a partir de public.usuarios"
"policy","pedidos_compra.pedidos_compra_insert_tenant","pedidos_compra","SUBSTITUIR","policy RLS reconstruída","Toda policy existente será retirada; o baseline aplicará tenant, papel e operação a partir de public.usuarios"
"policy","pedidos_compra.pedidos_compra_select_tenant","pedidos_compra","SUBSTITUIR","policy RLS reconstruída","Toda policy existente será retirada; o baseline aplicará tenant, papel e operação a partir de public.usuarios"
"policy","pedidos_compra.pedidos_compra_update_tenant","pedidos_compra","SUBSTITUIR","policy RLS reconstruída","Toda policy existente será retirada; o baseline aplicará tenant, papel e operação a partir de public.usuarios"
"policy","planejamento_compra_origens.planejamento_compra_origens_delete_blocked","planejamento_compra_origens","SUBSTITUIR","policy RLS reconstruída","Toda policy existente será retirada; o baseline aplicará tenant, papel e operação a partir de public.usuarios"
"policy","planejamento_compra_origens.planejamento_compra_origens_insert_tenant","planejamento_compra_origens","SUBSTITUIR","policy RLS reconstruída","Toda policy existente será retirada; o baseline aplicará tenant, papel e operação a partir de public.usuarios"
"policy","planejamento_compra_origens.planejamento_compra_origens_select_tenant","planejamento_compra_origens","SUBSTITUIR","policy RLS reconstruída","Toda policy existente será retirada; o baseline aplicará tenant, papel e operação a partir de public.usuarios"
"policy","planejamento_compra_origens.planejamento_compra_origens_update_tenant","planejamento_compra_origens","SUBSTITUIR","policy RLS reconstruída","Toda policy existente será retirada; o baseline aplicará tenant, papel e operação a partir de public.usuarios"
"policy","planejamentos_compra.planejamentos_compra_delete_blocked","planejamentos_compra","SUBSTITUIR","policy RLS reconstruída","Toda policy existente será retirada; o baseline aplicará tenant, papel e operação a partir de public.usuarios"
"policy","planejamentos_compra.planejamentos_compra_insert_tenant","planejamentos_compra","SUBSTITUIR","policy RLS reconstruída","Toda policy existente será retirada; o baseline aplicará tenant, papel e operação a partir de public.usuarios"
"policy","planejamentos_compra.planejamentos_compra_select_tenant","planejamentos_compra","SUBSTITUIR","policy RLS reconstruída","Toda policy existente será retirada; o baseline aplicará tenant, papel e operação a partir de public.usuarios"
"policy","planejamentos_compra.planejamentos_compra_update_tenant","planejamentos_compra","SUBSTITUIR","policy RLS reconstruída","Toda policy existente será retirada; o baseline aplicará tenant, papel e operação a partir de public.usuarios"
"policy","producao_configuracoes.producao_configuracoes_delete_blocked","producao_configuracoes","SUBSTITUIR","policy RLS reconstruída","Toda policy existente será retirada; o baseline aplicará tenant, papel e operação a partir de public.usuarios"
"policy","producao_configuracoes.producao_configuracoes_insert_tenant","producao_configuracoes","SUBSTITUIR","policy RLS reconstruída","Toda policy existente será retirada; o baseline aplicará tenant, papel e operação a partir de public.usuarios"
"policy","producao_configuracoes.producao_configuracoes_select_tenant","producao_configuracoes","SUBSTITUIR","policy RLS reconstruída","Toda policy existente será retirada; o baseline aplicará tenant, papel e operação a partir de public.usuarios"
"policy","producao_configuracoes.producao_configuracoes_update_tenant","producao_configuracoes","SUBSTITUIR","policy RLS reconstruída","Toda policy existente será retirada; o baseline aplicará tenant, papel e operação a partir de public.usuarios"
"policy","profiles.nexotfe profiles admin gerencia mesma empresa","profiles","REMOVER","eliminar com a tabela","Toda policy existente será retirada; o baseline aplicará tenant, papel e operação a partir de public.usuarios"
"policy","profiles.nexotfe profiles select mesma empresa","profiles","REMOVER","eliminar com a tabela","Toda policy existente será retirada; o baseline aplicará tenant, papel e operação a partir de public.usuarios"
"policy","profiles.nexotfe profiles update proprio perfil","profiles","REMOVER","eliminar com a tabela","Toda policy existente será retirada; o baseline aplicará tenant, papel e operação a partir de public.usuarios"
"policy","projeto_itens.projeto_itens_delete_blocked","projeto_itens","SUBSTITUIR","policy RLS reconstruída","Toda policy existente será retirada; o baseline aplicará tenant, papel e operação a partir de public.usuarios"
"policy","projeto_itens.projeto_itens_insert_tenant","projeto_itens","SUBSTITUIR","policy RLS reconstruída","Toda policy existente será retirada; o baseline aplicará tenant, papel e operação a partir de public.usuarios"
"policy","projeto_itens.projeto_itens_select_tenant","projeto_itens","SUBSTITUIR","policy RLS reconstruída","Toda policy existente será retirada; o baseline aplicará tenant, papel e operação a partir de public.usuarios"
"policy","projeto_itens.projeto_itens_update_tenant","projeto_itens","SUBSTITUIR","policy RLS reconstruída","Toda policy existente será retirada; o baseline aplicará tenant, papel e operação a partir de public.usuarios"
"policy","projetos.projetos_delete_blocked","projetos","SUBSTITUIR","policy RLS reconstruída","Toda policy existente será retirada; o baseline aplicará tenant, papel e operação a partir de public.usuarios"
"policy","projetos.projetos_insert_tenant","projetos","SUBSTITUIR","policy RLS reconstruída","Toda policy existente será retirada; o baseline aplicará tenant, papel e operação a partir de public.usuarios"
"policy","projetos.projetos_select_tenant","projetos","SUBSTITUIR","policy RLS reconstruída","Toda policy existente será retirada; o baseline aplicará tenant, papel e operação a partir de public.usuarios"
"policy","projetos.projetos_update_tenant","projetos","SUBSTITUIR","policy RLS reconstruída","Toda policy existente será retirada; o baseline aplicará tenant, papel e operação a partir de public.usuarios"
"policy","recursos_produtivos.Authenticated users can insert recursos","recursos_produtivos","SUBSTITUIR","policy RLS reconstruída","Toda policy existente será retirada; o baseline aplicará tenant, papel e operação a partir de public.usuarios"
"policy","recursos_produtivos.nexotfe recursos produtivos select autenticado","recursos_produtivos","SUBSTITUIR","policy RLS reconstruída","Toda policy existente será retirada; o baseline aplicará tenant, papel e operação a partir de public.usuarios"
"policy","recursos_produtivos.nexotfe recursos produtivos update criador ou admin","recursos_produtivos","SUBSTITUIR","policy RLS reconstruída","Toda policy existente será retirada; o baseline aplicará tenant, papel e operação a partir de public.usuarios"
"policy","recursos_produtivos.usuarios autenticados criam recursos produtivos","recursos_produtivos","SUBSTITUIR","policy RLS reconstruída","Toda policy existente será retirada; o baseline aplicará tenant, papel e operação a partir de public.usuarios"
"policy","requisicao_compra_itens.requisicao_compra_itens_delete_blocked","requisicao_compra_itens","SUBSTITUIR","policy RLS reconstruída","Toda policy existente será retirada; o baseline aplicará tenant, papel e operação a partir de public.usuarios"
"policy","requisicao_compra_itens.requisicao_compra_itens_insert_tenant","requisicao_compra_itens","SUBSTITUIR","policy RLS reconstruída","Toda policy existente será retirada; o baseline aplicará tenant, papel e operação a partir de public.usuarios"
"policy","requisicao_compra_itens.requisicao_compra_itens_select_tenant","requisicao_compra_itens","SUBSTITUIR","policy RLS reconstruída","Toda policy existente será retirada; o baseline aplicará tenant, papel e operação a partir de public.usuarios"
"policy","requisicao_compra_itens.requisicao_compra_itens_update_tenant","requisicao_compra_itens","SUBSTITUIR","policy RLS reconstruída","Toda policy existente será retirada; o baseline aplicará tenant, papel e operação a partir de public.usuarios"
"policy","requisicoes_compra.requisicoes_compra_delete_blocked","requisicoes_compra","SUBSTITUIR","policy RLS reconstruída","Toda policy existente será retirada; o baseline aplicará tenant, papel e operação a partir de public.usuarios"
"policy","requisicoes_compra.requisicoes_compra_insert_tenant","requisicoes_compra","SUBSTITUIR","policy RLS reconstruída","Toda policy existente será retirada; o baseline aplicará tenant, papel e operação a partir de public.usuarios"
"policy","requisicoes_compra.requisicoes_compra_select_tenant","requisicoes_compra","SUBSTITUIR","policy RLS reconstruída","Toda policy existente será retirada; o baseline aplicará tenant, papel e operação a partir de public.usuarios"
"policy","requisicoes_compra.requisicoes_compra_update_tenant","requisicoes_compra","SUBSTITUIR","policy RLS reconstruída","Toda policy existente será retirada; o baseline aplicará tenant, papel e operação a partir de public.usuarios"
"policy","tecnologias_aplicadas.nexotfe tecnologias delete admin mesma empresa","tecnologias_aplicadas","SUBSTITUIR","policy RLS reconstruída","Toda policy existente será retirada; o baseline aplicará tenant, papel e operação a partir de public.usuarios"
"policy","tecnologias_aplicadas.nexotfe tecnologias insert mesma empresa","tecnologias_aplicadas","SUBSTITUIR","policy RLS reconstruída","Toda policy existente será retirada; o baseline aplicará tenant, papel e operação a partir de public.usuarios"
"policy","tecnologias_aplicadas.nexotfe tecnologias select mesma empresa","tecnologias_aplicadas","SUBSTITUIR","policy RLS reconstruída","Toda policy existente será retirada; o baseline aplicará tenant, papel e operação a partir de public.usuarios"
"policy","tecnologias_aplicadas.nexotfe tecnologias update mesma empresa","tecnologias_aplicadas","SUBSTITUIR","policy RLS reconstruída","Toda policy existente será retirada; o baseline aplicará tenant, papel e operação a partir de public.usuarios"
"policy","usuarios.Admins gerenciam usuarios","usuarios","SUBSTITUIR","policy RLS reconstruída","Toda policy existente será retirada; o baseline aplicará tenant, papel e operação a partir de public.usuarios"
"policy","usuarios.Usuarios podem atualizar dados basicos do proprio perfil","usuarios","SUBSTITUIR","policy RLS reconstruída","Toda policy existente será retirada; o baseline aplicará tenant, papel e operação a partir de public.usuarios"
"policy","usuarios.Usuarios podem ver o proprio perfil","usuarios","SUBSTITUIR","policy RLS reconstruída","Toda policy existente será retirada; o baseline aplicará tenant, papel e operação a partir de public.usuarios"
"trigger","clientes.clientes_set_updated_at","clientes","PRESERVAR","trigger padronizado set_updated_at","Responsabilidade técnica compatível e sem regra de domínio"
"trigger","consumos_internos.set_consumos_internos_updated_at","consumos_internos","PRESERVAR","trigger padronizado set_updated_at","Responsabilidade técnica compatível e sem regra de domínio"
"trigger","credenciais.credenciais_set_atualizado_em","credenciais","REMOVER","eliminar com objeto legado","Objeto ou função de destino removido"
"trigger","empresas.empresas_preparar_saas","empresas","TRANSFORMAR","trigger ou RPC seguro do baseline","Finalidade útil com autoridade, concorrência ou regra a corrigir"
"trigger","estoque_saldos.set_estoque_saldos_updated_at","estoque_saldos","PRESERVAR","trigger padronizado set_updated_at","Responsabilidade técnica compatível e sem regra de domínio"
"trigger","fornecedores.set_fornecedores_updated_at","fornecedores","PRESERVAR","trigger padronizado set_updated_at","Responsabilidade técnica compatível e sem regra de domínio"
"trigger","funcionarios.funcionarios_set_empresa_id","funcionarios","TRANSFORMAR","trigger ou RPC seguro do baseline","Finalidade útil com autoridade, concorrência ou regra a corrigir"
"trigger","funcionarios.funcionarios_set_updated_at","funcionarios","PRESERVAR","trigger padronizado set_updated_at","Responsabilidade técnica compatível e sem regra de domínio"
"trigger","grupos_recursos.grupos_recursos_set_updated_at","grupos_recursos","PRESERVAR","trigger padronizado set_updated_at","Responsabilidade técnica compatível e sem regra de domínio"
"trigger","itens_industriais.itens_industriais_set_empresa_id","itens_industriais","TRANSFORMAR","trigger ou RPC seguro do baseline","Finalidade útil com autoridade, concorrência ou regra a corrigir"
"trigger","itens_industriais.itens_industriais_set_updated_at","itens_industriais","PRESERVAR","trigger padronizado set_updated_at","Responsabilidade técnica compatível e sem regra de domínio"
"trigger","materias_primas.set_materias_primas_updated_at","materias_primas","PRESERVAR","trigger padronizado set_updated_at","Responsabilidade técnica compatível e sem regra de domínio"
"trigger","movimentacoes_estoque.movimentacoes_estoque_set_empresa_id","movimentacoes_estoque","TRANSFORMAR","trigger ou RPC seguro do baseline","Finalidade útil com autoridade, concorrência ou regra a corrigir"
"trigger","movimentacoes_estoque.movimentacoes_estoque_set_updated_at","movimentacoes_estoque","PRESERVAR","trigger padronizado set_updated_at","Responsabilidade técnica compatível e sem regra de domínio"
"trigger","movimentacoes_estoque.movimentacoes_estoque_validar_item","movimentacoes_estoque","SUBSTITUIR","trigger definitivo","Recriar após definição das invariantes do baseline"
"trigger","numeracao_configuracoes.set_numeracao_configuracoes_updated_at","numeracao_configuracoes","PRESERVAR","trigger padronizado set_updated_at","Responsabilidade técnica compatível e sem regra de domínio"
"trigger","ordens_fabricacao.set_ordem_fabricacao_numero","ordens_fabricacao","TRANSFORMAR","trigger ou RPC seguro do baseline","Finalidade útil com autoridade, concorrência ou regra a corrigir"
"trigger","ordens_fabricacao.set_ordens_fabricacao_updated_at","ordens_fabricacao","PRESERVAR","trigger padronizado set_updated_at","Responsabilidade técnica compatível e sem regra de domínio"
"trigger","pedidos_compra.set_pedidos_compra_updated_at","pedidos_compra","PRESERVAR","trigger padronizado set_updated_at","Responsabilidade técnica compatível e sem regra de domínio"
"trigger","planejamentos_compra.set_planejamentos_compra_updated_at","planejamentos_compra","PRESERVAR","trigger padronizado set_updated_at","Responsabilidade técnica compatível e sem regra de domínio"
"trigger","producao_configuracoes.set_producao_configuracoes_updated_at","producao_configuracoes","PRESERVAR","trigger padronizado set_updated_at","Responsabilidade técnica compatível e sem regra de domínio"
"trigger","projeto_itens.set_projeto_itens_updated_at","projeto_itens","PRESERVAR","trigger padronizado set_updated_at","Responsabilidade técnica compatível e sem regra de domínio"
"trigger","projetos.set_projetos_updated_at","projetos","PRESERVAR","trigger padronizado set_updated_at","Responsabilidade técnica compatível e sem regra de domínio"
"trigger","recursos_produtivos.recursos_produtivos_set_updated_at","recursos_produtivos","PRESERVAR","trigger padronizado set_updated_at","Responsabilidade técnica compatível e sem regra de domínio"
"trigger","requisicao_compra_itens.set_requisicao_compra_itens_updated_at","requisicao_compra_itens","PRESERVAR","trigger padronizado set_updated_at","Responsabilidade técnica compatível e sem regra de domínio"
"trigger","requisicoes_compra.set_requisicoes_compra_updated_at","requisicoes_compra","PRESERVAR","trigger padronizado set_updated_at","Responsabilidade técnica compatível e sem regra de domínio"
"trigger","tecnologias_aplicadas.tecnologias_aplicadas_set_empresa_id","tecnologias_aplicadas","TRANSFORMAR","trigger ou RPC seguro do baseline","Finalidade útil com autoridade, concorrência ou regra a corrigir"
"trigger","tecnologias_aplicadas.tecnologias_aplicadas_set_updated_at","tecnologias_aplicadas","PRESERVAR","trigger padronizado set_updated_at","Responsabilidade técnica compatível e sem regra de domínio"
"trigger","usuarios.usuarios_set_atualizado_em","usuarios","REMOVER","eliminar com objeto legado","Objeto ou função de destino removido"
"constraint","bom_itens.bom_itens_bom_id_fkey","bom_itens","TRANSFORMAR","constraint derivada do schema definitivo","Recalcular pelos estados oficiais, tenant e relações do baseline"
"constraint","bom_itens.bom_itens_componente_produto_id_fkey","bom_itens","TRANSFORMAR","constraint derivada do schema definitivo","Recalcular pelos estados oficiais, tenant e relações do baseline"
"constraint","bom_itens.bom_itens_created_by_fkey","bom_itens","TRANSFORMAR","constraint derivada do schema definitivo","Recalcular pelos estados oficiais, tenant e relações do baseline"
"constraint","bom_itens.bom_itens_deleted_by_fkey","bom_itens","TRANSFORMAR","constraint derivada do schema definitivo","Recalcular pelos estados oficiais, tenant e relações do baseline"
"constraint","bom_itens.bom_itens_empresa_id_fkey","bom_itens","TRANSFORMAR","constraint derivada do schema definitivo","Recalcular pelos estados oficiais, tenant e relações do baseline"
"constraint","bom_itens.bom_itens_materia_prima_id_fkey","bom_itens","TRANSFORMAR","constraint derivada do schema definitivo","Recalcular pelos estados oficiais, tenant e relações do baseline"
"constraint","bom_itens.bom_itens_pkey","bom_itens","TRANSFORMAR","constraint derivada do schema definitivo","Recalcular pelos estados oficiais, tenant e relações do baseline"
"constraint","bom_itens.bom_itens_quantidade_chk","bom_itens","TRANSFORMAR","constraint derivada do schema definitivo","Recalcular pelos estados oficiais, tenant e relações do baseline"
"constraint","bom_itens.bom_itens_referencia_chk","bom_itens","TRANSFORMAR","constraint derivada do schema definitivo","Recalcular pelos estados oficiais, tenant e relações do baseline"
"constraint","bom_itens.bom_itens_tipo_chk","bom_itens","TRANSFORMAR","constraint derivada do schema definitivo","Recalcular pelos estados oficiais, tenant e relações do baseline"
"constraint","bom_itens.bom_itens_unidade_chk","bom_itens","TRANSFORMAR","constraint derivada do schema definitivo","Recalcular pelos estados oficiais, tenant e relações do baseline"
"constraint","boms.boms_created_by_fkey","boms","TRANSFORMAR","constraint derivada do schema definitivo","Recalcular pelos estados oficiais, tenant e relações do baseline"
"constraint","boms.boms_deleted_by_fkey","boms","TRANSFORMAR","constraint derivada do schema definitivo","Recalcular pelos estados oficiais, tenant e relações do baseline"
"constraint","boms.boms_empresa_id_fkey","boms","TRANSFORMAR","constraint derivada do schema definitivo","Recalcular pelos estados oficiais, tenant e relações do baseline"
"constraint","boms.boms_pkey","boms","TRANSFORMAR","constraint derivada do schema definitivo","Recalcular pelos estados oficiais, tenant e relações do baseline"
